股票代码,股票名称,生效日期,失效日期
000001,平安银行,2018-01-02,2018-01-31
000002,万科A,2018-01-02,2018-01-31
000008,神州高铁,2018-01-02,2018-01-31
000060,中金岭南,2018-01-02,2018-01-31
000063,中兴通讯,2018-01-02,2018-01-31
000069,华侨城A,2018-01-02,2018-01-31
000100,TCL集团,2018-01-02,2018-01-31
000157,中联重科,2018-01-02,2018-01-31
000166,申万宏源,2018-01-02,2018-01-31
000333,美的集团,2018-01-02,2018-01-31
000338,潍柴动力,2018-01-02,2018-01-31
000402,金融街,2018-01-02,2018-01-31
000413,东旭光电,2018-01-02,2018-01-31
000415,渤海金控,2018-01-02,2018-01-31
000423,东阿阿胶,2018-01-02,2018-01-31
000425,徐工机械,2018-01-02,2018-01-31
000503,国新健康,2018-01-02,2018-01-31
000538,云南白药,2018-01-02,2018-01-31
000540,中天金融,2018-01-02,2018-01-31
000559,万向钱潮,2018-01-02,2018-01-31
000568,泸州老窖,2018-01-02,2018-01-31
000623,吉林敖东,2018-01-02,2018-01-31
000625,长安汽车,2018-01-02,2018-01-31
000627,天茂集团,2018-01-02,2018-01-31
000630,铜陵有色,2018-01-02,2018-01-31
000651,格力电器,2018-01-02,2018-01-31
000671,阳光城,2018-01-02,2018-01-31
000686,东北证券,2018-01-02,2018-01-31
000709,河钢股份,2018-01-02,2018-01-31
000723,美锦能源,2018-01-02,2018-01-31
000725,京东方A,2018-01-02,2018-01-31
000728,国元证券,2018-01-02,2018-01-31
000738,航发控制,2018-01-02,2018-01-31
000750,国海证券,2018-01-02,2018-01-31
000768,中航飞机,2018-01-02,2018-01-31
000776,广发证券,2018-01-02,2018-01-31
000783,长江证券,2018-01-02,2018-01-31
000792,盐湖股份,2018-01-02,2018-01-31
000826,启迪桑德,2018-01-02,2018-01-31
000839,中信国安,2018-01-02,2018-01-31
000858,五粮液,2018-01-02,2018-01-31
000876,新希望,2018-01-02,2018-01-31
000895,双汇发展,2018-01-02,2018-01-31
000898,鞍钢股份,2018-01-02,2018-01-31
000938,紫光股份,2018-01-02,2018-01-31
000959,首钢股份,2018-01-02,2018-01-31
000961,中南建设,2018-01-02,2018-01-31
000963,华东医药,2018-01-02,2018-01-31
000983,西山煤电,2018-01-02,2018-01-31
001979,招商蛇口,2018-01-02,2018-01-31
002007,华兰生物,2018-01-02,2018-01-31
002008,大族激光,2018-01-02,2018-01-31
002024,苏宁易购,2018-01-02,2018-01-31
002027,分众传媒,2018-01-02,2018-01-31
002044,美年健康,2018-01-02,2018-01-31
002065,东华软件,2018-01-02,2018-01-31
002074,国轩高科,2018-01-02,2018-01-31
002081,金螳螂,2018-01-02,2018-01-31
002142,宁波银行,2018-01-02,2018-01-31
002146,荣盛发展,2018-01-02,2018-01-31
002153,石基信息,2018-01-02,2018-01-31
002174,游族网络,2018-01-02,2018-01-31
002202,金风科技,2018-01-02,2018-01-31
002230,科大讯飞,2018-01-02,2018-01-31
002236,大华股份,2018-01-02,2018-01-31
002241,歌尔股份,2018-01-02,2018-01-31
002252,上海莱士,2018-01-02,2018-01-31
