股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
1,2024-01-02,984.7939032,965.9160648,987.9402096,965.9160648,115836645.0,1075742252.45,2.236421725239621,-18.877838400000087,0.5969,-1.9169
1,2024-01-03,963.8185272,964.867296,966.9648336,959.623452,73361031.0,673673613.54,0.7600434310532007,-1.048768799999948,0.378,-0.1086
1,2024-01-04,963.8185272,955.4283768,963.8185272,952.2820704,86419399.0,787470082.37,1.1956521739130432,-9.438919199999988,0.4453,-0.9783
1,2024-01-05,954.379608,972.2086776,990.0377472,951.2333016,199162216.0,1852659692.14,4.061470911086719,16.780300799999964,1.0263,1.7563
1,2024-01-08,968.0136024,959.623452,975.354984,955.4283768,112115619.0,1029006548.73,2.0496224379719443,-12.585225599999944,0.5778,-1.2945
1,2024-01-09,960.6722208,962.7697584,963.8185272,953.3308392,76619388.0,700375720.2,1.092896174863381,3.1463063999999576,0.3948,0.3279
1,2024-01-10,960.6722208,953.3308392,963.8185272,953.3308392,85862091.0,783771150.01,1.0893246187363763,-9.438919199999988,0.4425,-0.9804
1,2024-01-11,952.2820704,961.7209896,966.9648336,947.0382264,93468637.0,853890237.29,2.0902090209020936,8.390150400000039,0.4817,0.8801
1,2024-01-12,957.5259144,963.8185272,972.2086776,955.4283768,77258215.0,711018266.07,1.7448200654307486,2.097537599999896,0.3981,0.2181
1,2024-01-15,960.6722208,965.9160648,974.3062152,957.5259144,74513266.0,685950951.45,1.7410228509249146,2.0975376000000097,0.384,0.2176
1,2024-01-16,963.8185272,979.5500592,980.598828,960.6722208,143831258.0,1334465408.53,2.062975027144412,13.633994400000006,0.7412,1.4115
1,2024-01-17,978.5012904,968.0136024,984.7939032,968.0136024,148229621.0,1380725065.03,1.7130620985010787,-11.536456799999996,0.7639,-1.1777
1,2024-01-18,965.9160648,964.867296,969.0623712,943.89192,175513247.0,1597853726.63,2.600216684723727,-3.1463063999999576,0.9044,-0.325
1,2024-01-19,960.6722208,961.7209896,964.867296,954.379608,96398142.0,881865023.89,1.0869565217391357,-3.1463063999999576,0.4968,-0.3261
1,2024-01-22,960.6722208,954.379608,971.1599088,948.0869952,158031966.0,1449858241.68,2.3991275899672835,-7.341381600000091,0.8144,-0.7634
1,2024-01-23,949.135764,960.6722208,962.7697584,939.6968448,113554458.0,1030898421.04,2.417582417582417,6.292612800000029,0.5852,0.6593
1,2024-01-24,968.0136024,978.5012904,979.5500592,951.2333016,175912316.0,1620099272.06,2.947598253275105,17.829069600000025,0.9065,1.8559
1,2024-01-25,978.5012904,996.33036,1000.5254352,972.2086776,216251395.0,2037648413.07,2.893890675241153,17.829069600000025,1.1144,1.8221
1,2024-01-26,993.1840536,1008.9155856,1014.1594296,990.0377472,227228706.0,2172799799.01,2.421052631578941,12.585225599999944,1.1709,1.2632
1,2024-01-29,1016.2569672,1017.305736,1036.1835744,1004.7205104,237625184.0,2312173346.33,3.118503118503122,8.390150400000039,1.2245,0.8316
1,2024-01-30,1007.8668168,996.33036,1017.305736,995.2815912,157912214.0,1515156603.96,2.164948453608252,-20.975375999999983,0.8137,-2.0619
1,2024-01-31,992.1352848,992.1352848,1002.6229728,983.7451344,135721747.0,1286857396.81,1.8947368421052608,-4.195075200000019,0.6994,-0.4211
1,2024-02-01,986.8914408,986.8914408,994.2328224,979.5500592,105525987.0,993481907.01,1.4799154334038125,-5.243843999999967,0.5438,-0.5285
1,2024-02-02,987.9402096,972.2086776,993.1840536,951.2333016,163421431.0,1520605694.69,4.25079702444208,-14.682763200000068,0.8421,-1.4878
1,2024-02-05,963.8185272,983.7451344,988.9889784,955.4283768,180359190.0,1674566499.46,3.4519956850053863,11.536456799999996,0.9294,1.1866
1,2024-02-06,975.354984,1015.2081984,1015.2081984,974.3062152,199540954.0,1900324218.2,4.157782515991474,31.46306400000003,1.0283,3.1983
1,2024-02-07,1008.9155856,1007.8668168,1014.1594296,994.2328224,206201497.0,1975435102.12,1.962809917355364,-7.341381599999977,1.0626,-0.7231
1,2024-02-08,1004.7205104,1014.1594296,1014.1594296,998.4278976,165681384.0,1593505690.13,1.5608740894901048,6.292612799999915,0.8538,0.6243
1,2024-02-19,1023.5983488,1028.8421928,1028.8421928,1012.061892,160524265.0,1564088444.93,1.654601861427102,14.682763200000068,0.8272,1.4478
1,2024-02-20,1026.7446552,1029.8909616,1031.9884992,1020.4520424,112356398.0,1098987813.26,1.1213047910295613,1.0487688000000617,0.579,0.1019
1,2024-02-21,1025.6958864,1132.670304,1132.670304,1024.6471176,505528460.0,5295259396.81,10.488798370672097,102.7793423999999,2.6051,9.9796
1,2024-02-22,1116.938772,1143.157992,1144.2067608,1113.7924656,492232512.0,5307736374.06,2.6851851851851825,10.487687999999936,2.5366,0.9259
1,2024-02-23,1141.0604544,1137.914148,1178.8161312,1136.8653792,356747950.0,3917316281.52,3.6697247706422,-5.243843999999854,1.8384,-0.4587
1,2024-02-26,1130.5727664,1104.3535464,1141.0604544,1101.20724,286260888.0,3048205024.78,3.502304147465444,-33.560601600000155,1.4751,-2.9493
1,2024-02-27,1100.1584712,1101.20724,1111.694928,1097.0121648,198190492.0,2083027074.06,1.3295346628679925,-3.1463063999999576,1.0213,-0.2849
1,2024-02-28,1102.2560088,1100.1584712,1122.182616,1090.719552,308269265.0,3253340358.41,2.8571428571428603,-1.0487688000000617,1.5886,-0.0952
1,2024-02-29,1092.8170896,1110.6461592,1110.6461592,1091.7683208,184534423.0,1936020982.56,1.7159199237368898,10.487688000000162,0.9509,0.9533
1,2024-03-01,1110.6461592,1100.1584712,1111.694928,1093.8658584,182810290.0,1917689306.77,1.6052880075542884,-10.487688000000162,0.9421,-0.9443
1,2024-03-04,1095.963396,1083.3781704,1101.20724,1082.3294016,165592954.0,1719562862.03,1.7159199237368898,-16.78030079999985,0.8533,-1.5253
1,2024-03-05,1080.231864,1093.8658584,1098.0609336,1076.0367888,181731907.0,1889144330.16,2.032913843175211,10.487687999999936,0.9365,0.9681
1,2024-03-06,1090.719552,1083.3781704,1095.963396,1083.3781704,134564016.0,1396940060.42,1.1505273250239747,-10.487687999999936,0.6934,-0.9588
1,2024-03-07,1083.3781704,1088.6220144,1115.8900032,1083.3781704,201616589.0,2109589237.19,3.000968054211023,5.243843999999854,1.039,0.484
1,2024-03-08,1085.475708,1088.6220144,1094.9146272,1080.231864,111397428.0,1154491251.23,1.348747591522154,0.0,0.574,0.0
1,2024-03-11,1088.6220144,1098.0609336,1098.0609336,1084.4269392,121067298.0,1260212019.66,1.2524084778419942,9.4389192000001,0.6239,0.8671
1,2024-03-12,1099.1097024,1107.4998528,1110.6461592,1091.7683208,164126237.0,1721999708.11,1.7191977077363874,9.4389192000001,0.8458,0.8596
1,2024-03-13,1104.3535464,1083.3781704,1106.451084,1080.231864,176803911.0,1834654994.4,2.3674242424242378,-24.12168240000005,0.9111,-2.178
1,2024-03-14,1080.231864,1072.8904824,1088.6220144,1069.744176,140939973.0,1448499697.91,1.7424975798644695,-10.487687999999936,0.7263,-0.9681
1,2024-03-15,1106.451084,1111.694928,1127.42646,1101.20724,375020789.0,3973799130.9,2.4437927663734067,38.80444559999978,1.9325,3.6168
1,2024-03-18,1107.4998528,1105.4023152,1112.7436968,1100.1584712,167139651.0,1761249149.98,1.1320754716981185,-6.292612799999915,0.8613,-0.566
1,2024-03-19,1104.3535464,1090.719552,1105.4023152,1089.6707832,129321558.0,1351069630.23,1.4231499051233412,-14.682763199999954,0.6664,-1.3283
1,2024-03-20,1088.6220144,1095.963396,1098.0609336,1087.5732456,87266316.0,910278572.98,0.9615384615384556,5.243844000000081,0.4497,0.4808
1,2024-03-21,1095.963396,1098.0609336,1103.3047776,1092.8170896,86446625.0,905422293.67,0.956937799043077,2.097537599999896,0.4455,0.1914
1,2024-03-22,1095.963396,1086.5244768,1095.963396,1081.2806328,102814174.0,1065535606.11,1.3371537726838751,-11.536456799999996,0.5298,-1.0506
1,2024-03-25,1085.475708,1090.719552,1100.1584712,1082.3294016,95320221.0,993304120.45,1.6409266409266328,4.195075200000019,0.4912,0.3861
1,2024-03-26,1095.963396,1111.694928,1117.9875408,1092.8170896,174002146.0,1835376190.72,2.307692307692318,20.97537599999987,0.8967,1.9231
1,2024-03-27,1107.4998528,1104.3535464,1114.8412344,1102.2560088,127413599.0,1347397150.36,1.1320754716981185,-7.341381599999977,0.6566,-0.6604
1,2024-03-28,1102.2560088,1100.1584712,1108.5486216,1088.6220144,130218892.0,1362980388.48,1.804368471035141,-4.195075200000019,0.671,-0.3799
1,2024-03-29,1095.963396,1103.3047776,1108.5486216,1093.8658584,87275898.0,917332315.96,1.33460438512869,3.146306400000185,0.4497,0.286
1,2024-04-01,1103.3047776,1115.8900032,1116.938772,1102.2560088,119108796.0,1261770380.39,1.3307984790874483,12.58522559999983,0.6138,1.1407
1,2024-04-02,1114.8412344,1106.451084,1120.0850784,1104.3535464,108545826.0,1149700799.95,1.4097744360902271,-9.438919199999871,0.5594,-0.8459
1,2024-04-03,1104.3535464,1097.0121648,1106.451084,1092.8170896,98184585.0,1028648883.43,1.2322274881516695,-9.4389192000001,0.506,-0.8531
1,2024-04-08,1092.8170896,1093.8658584,1100.1584712,1087.5732456,90636052.0,945290441.32,1.1472275334607878,-3.1463063999999576,0.4671,-0.2868
1,2024-04-09,1093.8658584,1090.719552,1098.0609336,1086.5244768,85715673.0,891468991.01,1.0546500479386385,-3.1463063999999576,0.4417,-0.2876
1,2024-04-10,1088.6220144,1078.1343264,1091.7683208,1077.0855576,124639082.0,1288696196.29,1.346153846153863,-12.585225600000058,0.6423,-1.1538
1,2024-04-11,1073.9392512,1074.98802,1079.1830952,1061.3540256,101021340.0,1030820137.39,1.6536964980544664,-3.1463063999999576,0.5206,-0.2918
1,2024-04-12,1071.8417136,1055.0614128,1077.0855576,1052.9638752,130545371.0,1322011753.93,2.243902439024374,-19.926607200000035,0.6727,-1.8537
1,2024-04-15,1056.1101816,1079.1830952,1082.3294016,1055.0614128,145320260.0,1486326196.01,2.584493041749504,24.12168240000005,0.7489,2.2863
1,2024-04-16,1078.1343264,1078.1343264,1089.6707832,1071.8417136,147803643.0,1523138499.07,1.6520894071914398,-1.0487688000000617,0.7617,-0.0972
1,2024-04-17,1076.0367888,1113.7924656,1114.8412344,1070.7929448,223264057.0,2337576586.88,4.085603112840476,35.65813920000005,1.1505,3.3074
1,2024-04-18,1109.5973904,1132.670304,1156.7919864,1107.4998528,316591426.0,3427338981.81,4.425612052730692,18.877838399999973,1.6314,1.6949
1,2024-04-19,1123.2313848,1121.1338472,1134.7678416,1117.9875408,145767502.0,1562376146.58,1.4814814814814885,-11.536456799999996,0.7512,-1.0185
1,2024-04-22,1115.8900032,1101.20724,1133.7190728,1095.963396,200981837.0,2125722741.41,3.367633302151539,-19.926607200000035,1.0357,-1.7774
1,2024-04-23,1102.2560088,1105.4023152,1116.938772,1097.0121648,124002700.0,1308866093.13,1.8095238095238129,4.195075200000019,0.639,0.381
1,2024-04-24,1103.3047776,1104.3535464,1108.5486216,1097.0121648,94156774.0,989093538.21,1.0436432637571154,-1.0487688000000617,0.4852,-0.0949
1,2024-04-25,1101.20724,1112.7436968,1113.7924656,1099.1097024,111381224.0,1176304524.86,1.3295346628679925,8.390150400000039,0.574,0.7597
1,2024-04-26,1110.6461592,1111.694928,1119.0363096,1099.1097024,160762751.0,1698581436.96,1.7907634307257336,-1.0487688000000617,0.8284,-0.0943
1,2024-04-29,1107.4998528,1133.7190728,1143.157992,1103.3047776,216917737.0,2337350883.73,3.5849056603773444,22.02414480000016,1.1178,1.9811
1,2024-04-30,1132.670304,1131.6215352,1141.0604544,1125.3289224,132455653.0,1431407709.37,1.387604070305274,-2.097537600000124,0.6826,-0.185
1,2024-05-06,1149.4506048,1142.1092232,1165.1821368,1136.8653792,178410057.0,1953817493.43,2.502316960148292,10.487688000000162,0.9194,0.9268
1,2024-05-07,1140.0116856,1141.0604544,1142.1092232,1128.4752288,108705665.0,1176786412.82,1.193755739210295,-1.0487688000000617,0.5602,-0.0918
1,2024-05-08,1136.8653792,1125.3289224,1141.0604544,1123.2313848,122179127.0,1318611999.65,1.5625000000000122,-15.731532000000016,0.6296,-1.3787
1,2024-05-09,1123.2313848,1128.4752288,1134.7678416,1123.2313848,106946063.0,1150726857.51,1.0251630941286312,3.1463063999999576,0.5511,0.2796
1,2024-05-10,1129.5239976,1147.3530672,1149.4506048,1128.4752288,176783561.0,1923452176.84,1.8587360594795623,18.877838399999973,0.911,1.6729
